,already,america,american,american people,americans,americas,believe,better,billion,budget,build,business,cannot,century,challenge,change,child,children,citizens,community,congress,continue,could,country,crime,defense,deficit,economic,economy,education,energy,every,families,family,federal,first,forces,freedom,future,government,great,growth,health,history,important,increase,lives,members,military,million,money,nation,national,nations,never,nuclear,opportunity,peace,people,percent,power,president,program,programs,progress,propose,protect,provide,public,reform,responsibility,right,school,schools,security,since,social,spending,state,states,still,strong,support,system,taxes,thats,today,together,tonight,trade,union,united,united states,welfare,without,workers,working,world,would,years
Carter_1978,0.034023102027391144,0.057369592170236405,0.24382076672350472,0.09280721511758191,0.08605438825535461,0.01606555558554732,0.06305439684271655,0.07589056958189234,0.07881799605339568,0.08769356902092644,0.03213111117109464,0.09824403684726805,0.1392108226763729,0.017341275834880866,0.0,0.0,0.018378527549957075,0.015178113916378468,0.048196666756641963,0.07071503837950911,0.10039678629791371,0.10230916385774752,0.0,0.14894096753408215,0.0,0.01606555558554732,0.06936510333952346,0.20461832771549504,0.16383506428749037,0.0455343417491354,0.17011551013695572,0.08605438825535461,0.015763599210679137,0.016374006141211345,0.11915277402726572,0.10230916385774752,0.03093573837252731,0.030356227832756936,0.0893645805204493,0.3215430864100636,0.10039678629791371,0.09280721511758191,0.04468229026022465,0.030356227832756936,0.015467869186263654,0.07733934593131828,0.015467869186263654,0.029231189673642147,0.04729079763203741,0.06071245566551387,0.0,0.10039678629791371,0.11473918434047281,0.08605438825535461,0.029231189673642147,0.1146180429884794,0.06187147674505462,0.1042586772738575,0.34421755302141843,0.07881799605339568,0.0,0.043027194127677304,0.0910686834982708,0.030356227832756936,0.06071245566551387,0.0198896500034909,0.07881799605339568,0.11245888909883126,0.06187147674505462,0.06426222234218928,0.0,0.09280721511758191,0.0,0.017011551013695572,0.16383506428749037,0.04468229026022465,0.0,0.04729079763203741,0.02978819350681643,0.11473918434047281,0.1392108226763729,0.10039678629791371,0.014894096753408215,0.0893645805204493,0.0520238275046426,0.02113760180650734,0.028684796085118203,0.16383506428749037,0.09824403684726805,0.10013541821947378,0.06187147674505462,0.11915277402726572,0.1042586772738575,0.06610288095628958,0.06071245566551387,0.08505775506847786,0.06426222234218928,0.30119035889374113,0.04384678451046322,0.143423980425591
Carter_1979,0.03728795101652487,0.11003083865425473,0.26721775101747575,0.06780864932104949,0.18862429483586526,0.05282160773390369,0.0,0.0831730110590025,0.03455254107863045,0.11212672752173,0.15846482320171104,0.0358905039550024,0.11866513631183662,0.019005340646908273,0.019375209270336195,0.07602136258763309,0.02014212679628496,0.066538408847202,0.05282160773390369,0.019375209270336195,0.17290560359954316,0.1441629353850814,0.0,0.11426331579364724,0.0,0.05282160773390369,0.05701602194072482,0.09610862359005429,0.13058664662131111,0.0166346022118005,0.018643975508262436,0.07859345618161052,0.0,0.0179452519775012,0.06529332331065556,0.03203620786335143,0.05085648699078712,0.0166346022118005,0.04896999248299167,0.2723077668384871,0.03143738247264421,0.016952162330262373,0.06529332331065556,0.0166346022118005,0.05085648699078712,0.016952162330262373,0.016952162330262373,0.03203620786335143,0.05182881161794568,0.0166346022118005,0.019005340646908273,0.14146822112689894,0.12574952989057683,0.17290560359954316,0.03203620786335143,0.2332882757075156,0.05085648699078712,0.26117329324262223,0.23578036854483156,0.0691050821572609,0.0691050821572609,0.09431214741793263,0.0166346022118005,0.066538408847202,0.0166346022118005,0.0,0.0691050821572609,0.07042881031187158,0.06780864932104949,0.03521440515593579,0.0,0.0,0.0,0.0,0.08161665413831945,0.04896999248299167,0.0,0.05182881161794568,0.03264666165532778,0.06287476494528842,0.033904324660524746,0.14146822112689894,0.09793998496598334,0.04896999248299167,0.0,0.023165961179357222,0.03143738247264421,0.08161665413831945,0.1076715118650072,0.05487219487777666,0.11866513631183662,0.11426331579364724,0.06529332331065556,0.0,0.0166346022118005,0.07457590203304974,0.05282160773390369,0.4244046633806968,0.0,0.12574952989057683
Carter_1980,0.0,0.2556663470822645,0.09023518132315218,0.03243869392374539,0.015039196887192031,0.05053821254358305,0.033058888963576394,0.015915514468870205,0.0,0.04597699932510577,0.05053821254358305,0.03433901380495089,0.03243869392374539,0.0,0.12976354570262533,0.07273507841073544,0.0,0.0,0.03369214169572204,0.0,0.10527437821034422,0.16858233085872118,0.033058888963576394,0.031235397716158558,0.0,0.08423035423930508,0.01818376960268386,0.09195399865021155,0.031235397716158558,0.015915514468870205,0.14270420569408743,0.09023518132315218,0.016529444481788197,0.0,0.015617698858079279,0.04597699932510577,0.11353542873310887,0.015915514468870205,0.015617698858079279,0.015325666441701925,0.09023518132315218,0.06487738784749078,0.015617698858079279,0.0,0.06487738784749078,0.048658040885618085,0.048658040885618085,0.03065133288340385,0.23141222274503478,0.015915514468870205,0.0,0.16543116575911235,0.10527437821034422,0.2556663470822645,0.09195399865021155,0.10301704141485267,0.0,0.32797167601966487,0.16543116575911235,0.033058888963576394,0.1487650003360938,0.015039196887192031,0.03183102893774041,0.0,0.047746543406610616,0.0,0.033058888963576394,0.05053821254358305,0.0,0.0,0.03636753920536772,0.03243869392374539,0.0,0.0,0.20303008515503063,0.031235397716158558,0.017169506902475446,0.0,0.046853096574237835,0.21054875642068843,0.03243869392374539,0.09023518132315218,0.046853096574237835,0.015617698858079279,0.0,0.0664935991208361,0.015039196887192031,0.10932389200655494,0.06867802760990178,0.017500052007984334,0.2595095513899631,0.20303008515503063,0.20303008515503063,0.0,0.03183102893774041,0.0,0.05053821254358305,0.37597992217980075,0.015325666441701925,0.060156787548768124
Clinton_1993,0.02163795985762696,0.0912145614639001,0.25540077209892026,0.14755847318063986,0.12770038604946013,0.04086938887238238,0.1403543325711179,0.07722362749232707,0.060151856816193394,0.12083764447928011,0.0,0.13537569663662044,0.03934892618150396,0.04411471124450681,0.022486620422713065,0.13234413373352044,0.058441737771015884,0.10618248780194972,0.010217347218095595,0.04497324084542613,0.10033601761029011,0.01859040684296617,0.09022778522429009,0.23680811600188692,0.02634151368515076,0.05108673609047798,0.22057355622253408,0.10224723763631395,0.11366789568090571,0.07722362749232707,0.08655183943050784,0.16418621063502017,0.09022778522429009,0.031240545377681637,0.08525092176067928,0.07436162737186468,0.01967446309075198,0.009652953436540884,0.12314022032098118,0.23238008553707712,0.04560728073195005,0.0983723154537599,0.19891881744158502,0.04826476718270442,0.01967446309075198,0.07869785236300791,0.00983723154537599,0.027885610264449256,0.02005061893873113,0.04826476718270442,0.09925810030014032,0.08209310531751009,0.0912145614639001,0.02736436843917003,0.03718081368593234,0.010413515125893879,0.029511694636127968,0.028416973920226428,0.40134407044116044,0.16040495150984904,0.010025309469365565,0.05472873687834006,0.12548839467503148,0.07722362749232707,0.009652953436540884,0.1138444998960337,0.02005061893873113,0.09195612496286036,0.04918615772687995,0.09195612496286036,0.06617206686676022,0.059023389272255936,0.034389344913960916,0.02163795985762696,0.07577859712060381,0.037889298560301904,0.0520675756294694,0.13032902310175234,0.037889298560301904,0.04560728073195005,0.04918615772687995,0.02736436843917003,0.037889298560301904,0.07577859712060381,0.06617206686676022,0.12098753403106492,0.0912145614639001,0.06630627248052832,0.13537569663662044,0.06368396855804871,0.0,0.037889298560301904,0.037889298560301904,0.0700666801562344,0.019305906873081768,0.08655183943050784,0.02043469443619119,0.11857892990307012,0.046476017107415425,0.17330766678141019
Clinton_1994,0.019300639911082454,0.08136161713237913,0.1789955576912341,0.07897157519732043,0.16272323426475827,0.01822735052662125,0.03576952528584837,0.12054345761623736,0.03576952528584837,0.04974684544718861,0.06379572684317439,0.0278659596804794,0.04387309733184468,0.009837366393526805,0.01002881432564907,0.07869893114821444,0.06255467394808197,0.12915370458882575,0.01822735052662125,0.10028814325649071,0.19526788111770993,0.08291140907864769,0.0,0.16053346229663404,0.18796894853125126,0.06379572684317439,0.08853629754174125,0.06632912726291815,0.03379651837823875,0.04305123486294192,0.0,0.1789955576912341,0.06259666925023465,0.10217518549509114,0.016898259189119375,0.06632912726291815,0.04387309733184468,0.025830740917765146,0.05914390716191781,0.04974684544718861,0.01627232342647583,0.02632385839910681,0.34641431337694717,0.06027172880811868,0.03509847786547575,0.02632385839910681,0.05264771679821362,0.033164563631459074,0.03576952528584837,0.05166148183553029,0.04918683196763403,0.02440848513971374,0.0569531319926654,0.0569531319926654,0.04974684544718861,0.037154612907305866,0.03509847786547575,0.042245647972798436,0.5044420262207506,0.053654287928772554,0.03576952528584837,0.1139062639853308,0.025830740917765146,0.03444098789035353,0.008610246972588383,0.0,0.017884762642924185,0.05468205157986376,0.02632385839910681,0.12759145368634878,0.03934946557410722,0.07897157519732043,0.0817990072175152,0.02895095986662368,0.10138955513471624,0.008449129594559688,0.0,0.06259666925023465,0.042245647972798436,0.09763394055885496,0.07897157519732043,0.040680808566189566,0.09294042554015655,0.16898259189119375,0.04918683196763403,0.07194568691405005,0.040680808566189566,0.0675930367564775,0.06502057258778526,0.028402431498511783,0.017549238932737875,0.03379651837823875,0.03379651837823875,0.2624920946293346,0.09471271669847221,0.02895095986662368,0.05468205157986376,0.13831474912504454,0.04974684544718861,0.15458707255152035
Clinton_1995,0.0348476901258335,0.13221001953951056,0.1469000217105673,0.09505650223355173,0.1469000217105673,0.03290984474571351,0.056509767111113586,0.06218389023161215,0.03229129549206491,0.07484910098265471,0.024682383559285134,0.05031254572273171,0.031685500744517245,0.03552312227109824,0.01810722419359092,0.0888078056777456,0.037647903622332175,0.14768673930007886,0.13986684016928244,0.05432167258077275,0.1395550206250389,0.014969820196530943,0.040364119365081136,0.24408115071887254,0.1166624538107942,0.008227461186428378,0.07104624454219648,0.037424550491327355,0.09915796747954196,0.06995687651056368,0.0,0.11752001736845383,0.1210923580952434,0.05031254572273171,0.0686478236396829,0.09730383127745111,0.015842750372258622,0.054410903952660634,0.03813767979982383,0.254486943341026,0.058760008684226914,0.023764125558387934,0.08390289555961243,0.015545972557903038,0.06337100148903449,0.023764125558387934,0.05544962630290518,0.052394370687858294,0.024218471619048682,0.06995687651056368,0.06216546397442193,0.06610500976975528,0.08814001302634038,0.007345001085528364,0.007484910098265471,0.04192712143560976,0.0712923766751638,0.061020287679718135,0.5288400781580422,0.008072823873016227,0.03229129549206491,0.08814001302634038,0.054410903952660634,0.08550284906846671,0.0,0.020371698014923213,0.008072823873016227,0.041137305932141884,0.031685500744517245,0.0740471506778554,0.1332117085166184,0.10297787741968105,0.055383651835813404,0.0348476901258335,0.07627535959964767,0.08390289555961243,0.0335416971484878,0.07265541485714605,0.030510143839859068,0.07345001085528365,0.1425847533503276,0.029380004342113457,0.07627535959964767,0.015255071919929534,0.03552312227109824,0.12989937199084503,0.058760008684226914,0.12966811131940104,0.11739594001970731,0.025640578142490246,0.015842750372258622,0.030510143839859068,0.030510143839859068,0.19183071584858766,0.06995687651056368,0.04355961265729187,0.12341191779642566,0.1028300151973971,0.08981892117918565,0.21300503148032257
Clinton_1996,0.028909242292336736,0.1868620675020251,0.19498650521950445,0.08761975469723772,0.2031109429369838,0.10010596965764573,0.07143596467504974,0.0429891991619906,0.008929495584381218,0.0662335487291933,0.009100542696149613,0.02782580556301998,0.017523950939447544,0.009823191006417,0.4005745226834973,0.009823191006417,0.0416430228684303,0.29232655430153603,0.0728043415691969,0.13018671987213662,0.24373313152438056,0.008279193591149163,0.03571798233752487,0.06749563696230282,0.15250469829040764,0.0,0.039292764025668,0.016558387182298327,0.04218477310143926,0.06018487882678684,0.00963641409744558,0.2031109429369838,0.16073092051886192,0.08347741668905995,0.07593259158259068,0.08279193591149163,0.008761975469723772,0.01719567966479624,0.03374781848115141,0.1324670974583866,0.03249775086991741,0.0,0.06749563696230282,0.00859783983239812,0.04380987734861886,0.008761975469723772,0.0963817301669615,0.016558387182298327,0.017858991168762436,0.0859783983239812,0.029469573019251,0.04874662630487611,0.03249775086991741,0.016248875434958704,0.041395967955745815,0.05565161112603996,0.026285926409171313,0.08436954620287852,0.34935082185161215,0.08929495584381217,0.008929495584381218,0.03249775086991741,0.05158703899438872,0.02579351949719436,0.00859783983239812,0.0,0.03571798233752487,0.04550271348074806,0.03504790187889509,0.04550271348074806,0.039292764025668,0.04380987734861886,0.05105071062017627,0.0963641409744558,0.07593259158259068,0.04218477310143926,0.02782580556301998,0.017858991168762436,0.06749563696230282,0.056871064022355464,0.0613338282880664,0.04874662630487611,0.09280650082316638,0.016873909240575705,0.029469573019251,0.05986834588757728,0.056871064022355464,0.15186518316518136,0.09275268521006662,0.009453834779741639,0.052571852818342625,0.04218477310143926,0.04218477310143926,0.13729773116273367,0.03439135932959248,0.05781848458467347,0.21841302470759072,0.08124437717479352,0.07451274232034245,0.1543643166321077
Clinton_1997,0.0500033135478822,0.36255599866525245,0.11804148793752406,0.018186342026442762,0.18549376675896637,0.04722267902663968,0.06486916276336072,0.06245981827648652,0.04633511625954336,0.14606638633175792,0.11333442966393524,0.048129330620986926,0.05455902607932829,0.16311199413974903,0.16628636548398834,0.04077799853493726,0.12965128574894194,0.18737945482945956,0.04722267902663968,0.11432187627024197,0.08431534852680289,0.06014498260719445,0.009267023251908674,0.11382624032172693,0.03652367349207783,0.0,0.0,0.02577642111736905,0.09631451104146126,0.13384246773532826,0.01000066270957644,0.31196678954917073,0.07413618601526939,0.0673810628693817,0.026267593920398524,0.15465852670421426,0.027279513039664145,0.02676849354706565,0.08755864640132842,0.02577642111736905,0.05058920911608174,0.018186342026442762,0.08755864640132842,0.03569132472942087,0.04546585506610691,0.018186342026442762,0.04546585506610691,0.017184280744912697,0.009267023251908674,0.08030548064119696,0.04077799853493726,0.08431534852680289,0.13490455764288464,0.05902074396876203,0.008592140372456349,0.048129330620986926,0.036372684052885525,0.07880278176119557,0.261377580433089,0.02780106975572602,0.037068093007634695,0.08431534852680289,0.02676849354706565,0.017845662364710434,0.02676849354706565,0.03507787401683148,0.037068093007634695,0.009444535805327935,0.018186342026442762,0.07555628644262348,0.04077799853493726,0.04546585506610691,0.15894115783128568,0.14000927793407014,0.07004691712106273,0.026267593920398524,0.03850346449678954,0.018534046503817347,0.07880278176119557,0.03372613941072116,0.036372684052885525,0.06745227882144232,0.07004691712106273,0.017511729280265682,0.04077799853493726,0.06213132064972463,0.05058920911608174,0.11382624032172693,0.16363972411135555,0.049055910211102734,0.027279513039664145,0.035023458560531365,0.017511729280265682,0.19430110048252588,0.0535369870941313,0.06000397625745863,0.05666721483196762,0.21921990616968753,0.02577642111736905,0.2698091152857693
Clinton_1998,0.03262594240078663,0.3209132982978019,0.16504112483886957,0.04944226903312699,0.18337902759874397,0.0924349386041378,0.03023253314542873,0.019406432330975918,0.03023253314542873,0.07474882682799247,0.10270548733793089,0.04187095233532422,0.03955381522650159,0.21063597426047373,0.06781112337087476,0.06651662345067591,0.22323496222645492,0.22317397180622306,0.051352743668965445,0.11301853895145794,0.22005483311849275,0.05606162012099436,0.020155022096952486,0.028564940515842817,0.06619668350559504,0.0,0.07760272735912191,0.02803081006049718,0.104738115224757,0.08732894548939164,0.021750628267191086,0.26589959001817876,0.12093013258171492,0.0942096427544795,0.047608234193071364,0.20555927377697933,0.009888453806625397,0.0485160808274398,0.03808658735445709,0.10277963688848966,0.04584475689968599,0.019776907613250794,0.057129881031685634,0.05821929699292775,0.05933072283975238,0.009888453806625397,0.06921917664637778,0.037374413413996235,0.020155022096952486,0.07762572932390367,0.033258311725337955,0.12836531931912076,0.08252056241943478,0.07335161103949758,0.018687206706998118,0.031403214251493165,0.09888453806625398,0.0666515278702999,0.20171693035861835,0.020155022096952486,0.020155022096952486,0.08252056241943478,0.009703216165487959,0.038812864661951836,0.038812864661951836,0.08900677788566334,0.09069759943628619,0.061623292402758545,0.04944226903312699,0.061623292402758545,0.07760272735912191,0.10877299187287938,0.06913681904369837,0.08700251306876434,0.08569482154752844,0.03808658735445709,0.07327416658681739,0.03023253314542873,0.03808658735445709,0.05501370827962319,0.05933072283975238,0.06418265965956038,0.11425976206337127,0.0666515278702999,0.0,0.04053917120635647,0.09168951379937199,0.11425976206337127,0.14654833317363478,0.08535409288735744,0.05933072283975238,0.057129881031685634,0.03808658735445709,0.1408630318220366,0.038812864661951836,0.10875314133595544,0.07189384113655163,0.13753427069905796,0.018687206706998118,0.23839273587836715
Clinton_1999,0.04702889590545793,0.2616896690155905,0.15066980943321875,0.042761345467817284,0.22996970913491285,0.0355309326321995,0.034863119337092775,0.058744432790156814,0.06101045883991236,0.12929667144378953,0.04441366579024938,0.018106554299497046,0.008552269093563457,0.33558300405113656,0.04887341219244205,0.02876425749009742,0.05080793975497463,0.17623329837047044,0.01776546631609975,0.10752150682337251,0.2061797392244046,0.06464833572189477,0.026147339502819583,0.04117513595661776,0.057251807159374744,0.01776546631609975,0.019176171660064946,0.04040520982618423,0.07411524472191197,0.03356824730866104,0.009405779181091586,0.2061797392244046,0.06972623867418555,0.05431966289849113,0.032940108765294206,0.14545875537426323,0.0,0.01678412365433052,0.024705081573970656,0.105053545548079,0.031719959880677634,0.025656807280690367,0.07411524472191197,0.058744432790156814,0.017104538187126914,0.08552269093563457,0.03420907637425383,0.02424312589571054,0.008715779834273194,0.07552855644448733,0.019176171660064946,0.06343991976135527,0.05550992979118586,0.0951598796420329,0.02424312589571054,0.045266385748742616,0.07697042184207112,0.06588021753058841,0.16652978937355759,0.04357889917136597,0.0,0.06343991976135527,0.01678412365433052,0.03356824730866104,0.01678412365433052,0.10997095783413365,0.026147339502819583,0.0355309326321995,0.0598658836549442,0.0355309326321995,0.11505702996038968,0.09407496002919803,0.13952086093142402,0.1316809085352822,0.24705081573970658,0.06588021753058841,0.2353852058934616,0.008715779834273194,0.057645190339264865,0.06343991976135527,0.03420907637425383,0.03964994985084704,0.23058076135705946,0.04941016314794131,0.009588085830032473,0.03506128539069527,0.11101985958237172,0.06588021753058841,0.19917209729446747,0.1015032662554207,0.042761345467817284,0.032940108765294206,0.016470054382647103,0.04873152373610059,0.03356824730866104,0.03762311672436634,0.08882733158049876,0.12687983952271054,0.02424312589571054,0.24582968907525166
Clinton_2000,0.08317162297095207,0.22594801173303405,0.18699145798595923,0.03361082996131299,0.16361752573771432,0.026182177253253298,0.059943511350493375,0.049471811517827834,0.06850687011484957,0.0793972115564709,0.0436369620887555,0.053369723674009904,0.05041624494196948,0.14130614882527295,0.07682994671276791,0.03768163968673945,0.1797098880537901,0.25560435950877713,0.0436369620887555,0.14405615008643982,0.13245228274005444,0.031758884622588364,0.04281679382178098,0.05663709447703014,0.05625059076017216,0.0087273924177511,0.009420409921684863,0.0793972115564709,0.08091013496718591,0.06596241535710379,0.018482582882433794,0.22594801173303405,0.11988702270098675,0.053369723674009904,0.032364053986874364,0.1905533077355302,0.02520812247098474,0.049471811517827834,0.048546080980311546,0.023819163466941275,0.07791310749414967,0.058818952432297726,0.12945621594749745,0.032981207678551894,0.10083248988393896,0.042013537451641235,0.07562436741295422,0.031758884622588364,0.008563358764356196,0.11543422687493161,0.018840819843369726,0.08570441824356465,0.09349572899297962,0.04674786449648981,0.023819163466941275,0.026684861837004952,0.1092351973742672,0.06472810797374873,0.3116524299765987,0.08563358764356196,0.025690076293068593,0.0701217967447347,0.032981207678551894,0.032981207678551894,0.04122650959818987,0.16207168781795597,0.059943511350493375,0.0436369620887555,0.016805414980656495,0.0436369620887555,0.06594286945179405,0.1092351973742672,0.08812345366573654,0.11089549729460275,0.06472810797374873,0.06472810797374873,0.053369723674009904,0.008563358764356196,0.048546080980311546,0.04674786449648981,0.09242978239361073,0.023373932248244904,0.14563824294093464,0.016182026993437182,0.0,0.12630983051196876,0.09349572899297962,0.10518317545734168,0.24016375653304456,0.06346338906492689,0.02520812247098474,0.032364053986874364,0.032364053986874364,0.04787930957652145,0.06596241535710379,0.02772387432365069,0.12218349384851539,0.12466097199063948,0.12703553849035346,0.2649045654801089
Johnson_1964,0.02743686748154978,0.09252782985972946,0.1387917447895942,0.0,0.20818761718439127,0.025911130576116544,0.050848248020120945,0.17135881958428956,0.15254474406036284,0.18858063600622565,0.05182226115223309,0.026408611200519978,0.12473579767764782,0.0,0.0,0.0,0.0,0.07343949410755267,0.10364452230446618,0.057025933008968216,0.20818761718439127,0.047145159001556414,0.050848248020120945,0.2161958205318758,0.0,0.05182226115223309,0.027968660039262797,0.023572579500778207,0.07206527351062528,0.0979193254767369,0.0,0.41637523436878254,0.050848248020120945,0.07922583360155994,0.14413054702125055,0.07071773850233462,0.02494715953552956,0.04895966273836845,0.02402175783687509,0.0,0.023131957464932365,0.0,0.07206527351062528,0.14687898821510534,0.02494715953552956,0.07484147860658869,0.0,0.11786289750389103,0.07627237203018142,0.1958386509534738,0.027968660039262797,0.09252782985972946,0.1387917447895942,0.16192370225452654,0.047145159001556414,0.026408611200519978,0.07484147860658869,0.07206527351062528,0.04626391492986473,0.10169649604024189,0.10169649604024189,0.023131957464932365,0.17135881958428956,0.07343949410755267,0.07343949410755267,0.032078773473438654,0.025424124010060473,0.05182226115223309,0.27441875489082523,0.0,0.0,0.02494715953552956,0.0581407800852399,0.10974746992619912,0.07206527351062528,0.04804351567375018,0.07922583360155994,0.050848248020120945,0.07206527351062528,0.04626391492986473,0.07484147860658869,0.023131957464932365,0.04804351567375018,0.04804351567375018,0.0,0.0,0.16192370225452654,0.02402175783687509,0.0,0.053834052671728805,0.04989431907105912,0.04804351567375018,0.02402175783687509,0.0,0.0979193254767369,0.05487373496309956,0.07773339172834963,0.1387917447895942,0.14143547700466924,0.16192370225452654
